,area,bathroom,bedroom,business,condominium,garage,neighborhood,price,property,suite
0,135.0,4,3,venda,não informado,2,Tirol,295000.0,casa,3
0,187.0,4,3,venda,não informado,2,Tirol,295000.0,casa,3
0,265.0,3,5,venda,não informado,5,Lagoa Nova,450000.0,casa,2
0,488.0,7,4,venda,0,3,Lagoa Nova,900000.0,casa,4
0,256.0,4,3,venda,não informado,3,Cidade Satelite,290000.0,casa,3
0,150.0,4,4,venda,0,4,Ponta Negra,279000.0,casa,2
0,216.0,2,3,venda,0,1,Tirol,700000.0,casa,1
0,180.0,2,3,venda,1.0,2,Neópolis,330000.0,casa,1
0,,1,3,venda,0,2,Lagoa Nova,350000.0,casa,1
0,140.0,3,2,venda,não informado,2,Ponta Negra,210000.0,casa,2
0,340.0,5,6,venda,não informado,6,Ponta Negra,815000.0,casa,5
0,450.0,4,5,venda,não informado,3,Capim Macio,850000.0,casa,2
0,242.0,4,5,venda,não informado,3,Capim Macio,520000.0,casa,3
0,600.0,4,3,venda,não informado,3,Capim Macio,1000000.0,casa,2
0,240.0,5,5,venda,0,2,Capim Macio,680000.0,casa,5
0,250.0,2,3,venda,0,4,Neópolis,270000.0,casa,1
0,600.0,6,3,venda,não informado,10,Capim Macio,1100000.0,casa,3
0,290.0,3,6,venda,não informado,3,Ponta Negra,399000.0,casa,3
0,150.0,2,3,venda,0,2,Nossa Senhora da Apresentação,180000.0,casa,2
0,400.0,5,5,venda,não informado,4,Tirol,550000.0,casa,3
0,200.0,3,3,venda,0,9,Cidade Satelite,390000.0,casa,1
0,280.0,4,3,venda,não informado,3,Lagoa Nova,680000.0,casa,2
0,270.0,2,4,venda,não informado,5,Lagoa Nova,400000.0,casa,2
0,270.0,3,4,venda,não informado,8,Lagoa Nova,750000.0,casa,2
0,280.0,1,5,venda,0,2,Ponta Negra,600000.0,casa,1
0,256.0,5,5,venda,0,4,Capim Macio,700000.0,casa,3
0,900.0,11,5,venda,1500.0,7,Candelária,4000000.0,casa,5
0,220.0,3,3,venda,0,2,Pitimbu,320000.0,casa,2
0,144.0,4,3,venda,400.0,2,Neópolis,370000.0,casa,3
0,670.0,4,5,venda,0,6,Ponta Negra,2200000.0,casa,3
0,,3,4,venda,0,4,Lagoa Nova,700000.0,casa,3
0,127.0,3,4,venda,não informado,3,Candelária,233333.0,casa,0
0,300.0,5,4,venda,0,4,Lagoa Nova,700000.0,casa,1
0,250.0,3,3,venda,0,2,Lagoa Nova,650000.0,casa,1
0,,1,3,venda,0,2,Cidade Satelite,180000.0,casa,0
0,244.0,2,3,venda,0,1,Ponta Negra,310000.0,casa,1
0,110.0,4,4,venda,não informado,2,Nossa Senhora da Apresentação,200000.0,casa,2
0,180.0,3,3,venda,não informado,2,Ponta Negra,595000.0,casa,2
0,900.0,5,5,venda,0,10,Capim Macio,1500000.0,casa,5
0,450.0,3,4,venda,10.0,4,Capim Macio,500000.0,casa,3
0,300.0,2,4,venda,não informado,3,Neópolis,500000.0,casa,2
0,203.0,2,3,venda,não informado,4,Candelária,460000.0,casa,1
0,172.0,2,3,venda,não informado,2,Pitimbu,185000.0,casa,2
0,280.0,2,4,venda,não informado,2,Cidade da Esperança,280000.0,casa,1
0,192.0,2,4,venda,0,6,Cidade da Esperança,200000.0,casa,1
0,190.0,2,3,venda,não informado,3,Candelária,410000.0,casa,1
0,172.0,3,3,venda,0,3,Lagoa Nova,500000.0,casa,1
0,350.0,2,3,venda,0,4,Neópolis,260000.0,casa,1
0,180.0,3,4,venda,0,2,Tirol,600000.0,casa,2
0,220.0,3,3,venda,não informado,3,Pitimbu,260000.0,casa,2
0,240.0,1,4,venda,0,4,Nova Descoberta,380000.0,casa,1
0,230.0,5,4,venda,não informado,7,Lagoa Nova,400000.0,casa,2
0,175.0,3,3,venda,0,2,Candelária,400000.0,casa,1
0,331.0,6,4,venda,não informado,4,Lagoa Nova,850000.0,casa,4
0,254.0,3,3,venda,não informado,1,Pitimbu,350000.0,casa,3
0,230.0,4,4,venda,não informado,5,Nova Descoberta,500000.0,casa,4
0,287.0,4,4,venda,não informado,4,Candelária,425000.0,casa,3
0,130.0,3,3,venda,não informado,1,Barro Vermelho,380000.0,casa,1
0,240.0,2,4,venda,0,6,Tirol,850000.0,casa,1
0,400.0,4,4,venda,não informado,6,Lagoa Nova,950000.0,casa,2
0,300.0,3,4,venda,não informado,4,Lagoa Nova,450000.0,casa,2
0,190.0,3,3,venda,0,3,Barro Vermelho,350000.0,casa,1
0,181.0,4,3,venda,0,4,PARNAMIRIM,410000.0,casa,3
0,184.0,3,3,venda,não informado,5,Ponta Negra,365000.0,casa,1
0,11.0,2,2,venda,0,3,Planalto,170000.0,casa,0
0,100.0,3,3,venda,não informado,4,Candelária,480000.0,casa,2
0,183.0,1,3,venda,não informado,5,Capim Macio,570000.0,casa,1
0,95.0,2,2,venda,não informado,1,Igapó,150000.0,casa,1
0,107.0,0,3,venda,0,2,Lagoa Nova,350000.0,casa,0
0,260.0,4,4,venda,0,4,Capim Macio,550000.0,casa,4
0,85.0,2,3,venda,600.0,2,Petrópolis,240000.0,casa,1
0,230.0,3,3,venda,não informado,6,Capim Macio,449900.0,casa,1
0,310.0,1,5,venda,0,4,Neópolis,1450000.0,casa,5
0,436.0,10,7,venda,não informado,4,Ponta Negra,895000.0,casa,7
0,1010.0,3,3,venda,não informado,5,Ponta Negra,3000000.0,casa,2
0,870.0,10,8,venda,não informado,6,Candelária,1400000.0,casa,8
0,,4,3,venda,não informado,4,Candelária,550000.0,casa,3
0,200.0,2,3,venda,não informado,3,Pitimbu,280000.0,casa,1
0,90.0,1,2,venda,não informado,1,Ponta Negra,180200.0,casa,0
0,330.0,5,4,venda,0,7,Capim Macio,740000.0,casa,4
0,300.0,4,4,venda,0,4,Nossa Senhora de Nazaré,350000.0,casa,3
0,85.0,1,3,venda,0,0,Praia do Meio,240000.0,casa,0
0,365.0,4,4,venda,0,4,Candelária,650000.0,casa,2
0,290.0,3,3,venda,0,5,Capim Macio,500000.0,casa,1
0,,0,2,venda,240.0,0,Planalto,135000.0,casa,1
0,,1,3,venda,0,2,Neópolis,360000.0,casa,3
0,1000.0,1,8,venda,0,6,Tirol,2000000.0,casa,5
0,155.0,2,3,venda,não informado,2,Lagoa Nova,370000.0,casa,1
0,249.0,4,3,venda,não informado,2,Pitimbu,329900.0,casa,2
0,186.0,5,3,venda,não informado,4,Capim Macio,630000.0,casa,2
0,414.0,1,4,venda,não informado,4,Lagoa Nova,800000.0,casa,4
0,232.0,1,3,venda,0,3,Alecrim,1200000.0,casa,0
0,150.0,3,3,venda,não informado,4,Lagoa Nova,450000.0,casa,2
0,455.0,6,5,venda,não informado,2,Ponta Negra,1290000.0,casa,3
0,351.0,4,3,venda,0,4,Cidade Jardim,795000.0,casa,3
0,210.0,2,5,venda,0,2,Barro Vermelho,335000.0,casa,3
0,208.0,4,3,venda,não informado,2,Petrópolis,570000.0,casa,3
0,283.0,1,5,venda,0,6,Nossa Senhora de Nazaré,500000.0,casa,2
0,900.0,5,4,venda,não informado,10,Lagoa Nova,2000000.0,casa,3
0,900.0,8,8,venda,não informado,25,San Vale,2900000.0,casa,7
0,,0,4,venda,não informado,3,Candelária,450000.0,casa,2
0,273.0,5,6,venda,não informado,4,Ponta Negra,450000.0,casa,4
0,170.0,2,3,venda,não informado,3,Candelária,350000.0,casa,1
0,450.0,5,4,venda,0,2,Capim Macio,650000.0,casa,4
0,245.0,4,3,venda,0,2,Cidade Satelite,870000.0,casa,3
0,113.0,2,2,venda,0,3,Capim Macio,380000.0,casa,2
0,400.0,1,12,venda,0,3,Cidade Alta,280000.0,casa,4
0,144.0,3,4,venda,375.0,2,PARNAMIRIM,420000.0,casa,1
0,150.0,3,4,venda,0,2,Cidade Satelite,245000.0,casa,2
0,360.0,1,3,venda,0,2,Cidade Satelite,190000.0,casa,0
0,172.0,2,4,venda,não informado,2,Candelária,550000.0,casa,2
0,226.0,0,2,venda,0,5,Lagoa Nova,800000.0,casa,2
0,240.0,5,4,venda,não informado,5,Capim Macio,589999.0,casa,4
0,240.0,2,3,venda,não informado,3,Ponta Negra,650000.0,casa,1
0,240.0,2,3,venda,0,2,Ponta Negra,320000.0,casa,1
0,430.0,5,4,venda,0,8,Candelária,800000.0,casa,4
0,74.0,2,2,venda,160.0,2,Ponta Negra,150000.0,casa,2
0,240.0,3,3,venda,não informado,0,Capim Macio,340000.0,casa,1
0,420.0,4,4,venda,0,4,Barro Vermelho,340000.0,casa,2
0,358.0,1,3,venda,700.0,4,Neópolis,950000.0,casa,3
0,110.0,1,2,venda,0,0,Alecrim,180000.0,casa,1
0,462.0,3,4,venda,0,8,Lagoa Nova,497000.0,casa,2
0,202.0,4,4,venda,não informado,3,Ponta Negra,550000.0,casa,2
0,293.0,3,4,venda,0,3,Ponta Negra,650000.0,casa,2
0,150.0,3,4,venda,0,2,Nossa Senhora de Nazaré,250000.0,casa,1
0,180.0,3,3,venda,0,2,Cidade da Esperança,370000.0,casa,1
0,400.0,3,4,venda,não informado,3,Pitimbu,200000.0,casa,2
0,280.0,5,5,venda,não informado,5,Lagoa Nova,420000.0,casa,2
0,97.0,3,3,venda,0,1,Ponta Negra,342155.0,casa,2
0,,0,2,venda,0,0,Cidade Nova,170000.0,casa,1
0,410.0,2,7,venda,0,5,Barro Vermelho,980000.0,casa,5
0,,2,3,venda,0,3,Lagoa Nova,600000.0,casa,2
0,120.0,3,3,venda,não informado,2,Lagoa Nova,295000.0,casa,1
0,180.0,4,4,venda,0,2,Barro Vermelho,480000.0,casa,2
0,223.0,6,5,venda,não informado,6,Pitimbu,665000.0,casa,5
0,330.0,3,4,venda,0,4,Candelária,800000.0,casa,2
0,400.0,6,4,venda,não informado,3,Lagoa Nova,950000.0,casa,4
0,230.0,5,4,venda,499.0,4,Pitimbu,630000.0,casa,4
0,210.0,4,3,venda,0,3,Capim Macio,650000.0,casa,3
0,398.0,5,4,venda,0,4,Capim Macio,950000.0,casa,3
0,100.0,2,3,venda,0,4,Ponta Negra,280000.0,casa,1
0,800.0,4,3,venda,não informado,10,Lagoa Nova,2000000.0,casa,1
0,770.0,6,5,venda,não informado,8,Candelária,2500000.0,casa,4
0,200.0,3,3,venda,0,10,POTILANDIA,650000.0,casa,1
0,357.0,4,4,venda,0,4,Lagoa Nova,430000.0,casa,1
0,446.0,1,5,venda,0,2,Quintas,380000.0,casa,0
0,335.0,4,4,venda,não informado,4,Lagoa Seca,600000.0,casa,1
0,180.0,2,5,venda,não informado,3,Cidade da Esperança,260000.0,casa,1
0,191.0,3,3,venda,0,3,Capim Macio,595000.0,casa,0
0,300.0,3,4,venda,não informado,4,Lagoa Nova,460000.0,casa,1
0,275.0,3,4,venda,não informado,3,Candelária,450000.0,casa,2
0,108.0,1,4,venda,não informado,0,Barro Vermelho,200000.0,casa,0
0,100.0,1,3,venda,0,2,Tirol,230000.0,casa,0
0,400.0,1,4,venda,0,4,Lagoa Nova,680000.0,casa,4
0,268.0,5,3,venda,0,0,Lagoa Nova,550000.0,casa,3
0,268.0,2,3,venda,0,3,Nova Descoberta,300000.0,casa,1
0,265.0,1,2,venda,0,1,Neópolis,150000.0,casa,0
0,220.0,5,3,venda,0,5,Pitimbu,350000.0,casa,3
